brand,valve_name,cyl_name,dn_min,dn_max,kv_b,kv_d,kv_e,zvs,fls,description_en,description_de,description_es
VAG,RIKO,E,150,2000,-2.926221896,1.527259557,80.3535948,1.9,0.61736739,Mobile Flat Cylinder,Mobiler Flachzylinder,Cilindro Plano movil
VAG,RIKO,SZ-7.5,150,2000,-1.885990369,5.480605753,221.4905901,328.5233853,0.912866972,"Slotted cylinder, mobile",Mobiler Schlitz Zylinder,"Cilindro ranurado, movil"
VAG,RIKO,SZ-10,150,2000,-1.885990369,5.480605753,221.4905901,149.6735582,0.881596889,"Slotted cylinder, mobile",Mobiler Schlitz Zylinder,"Cilindro ranurado, movil"
VAG,RIKO,SZ-20,150,2000,-2.145459335,28.16435545,466.0023007,76.7,0.828051768,"Slotted cylinder, mobile",Mobiler Schlitz Zylinder,"Cilindro ranurado, movil"
VAG,RIKO,SZ-30,150,2000,-1.885990369,5.480605753,221.4905901,27.59518899,0.797399921,"Slotted cylinder, mobile",Mobiler Schlitz Zylinder,"Cilindro ranurado, movil"
VAG,RIKO,SZ-35,150,2000,-1.885990369,5.480605753,221.4905901,22.8683056,0.784825513,"Slotted cylinder, mobile",Mobiler Schlitz Zylinder,"Cilindro ranurado, movil"
VAG,RIKO,SZ-40,150,2000,-1.885990369,5.480605753,221.4905901,19.51291487,0.773305492,"Slotted cylinder, mobile",Mobiler Schlitz Zylinder,"Cilindro ranurado, movil"
VAG,RIKO,SZ-45,150,2000,-1.885990369,5.480605753,221.4905901,17.00943452,0.762556642,"Slotted cylinder, mobile",Mobiler Schlitz Zylinder,"Cilindro ranurado, movil"
VAG,RIKO,LH-7.5,150,2000,-1.833129869,2.89006454,141.5214192,194.2,0.912866972,"Perforated cylinder, mobile",Mobiler Loch Zylinder,"Cilindro perforado, movil"
VAG,RIKO,LH-10,150,2000,-3.189147663,1.202928822,60.64686322,149.6735582,0.881596889,"Perforated cylinder, mobile",Mobiler Loch Zylinder,"Cilindro perforado, movil"
VAG,RIKO,LH-15,150,2000,-1.824392522,3.531592682,166.3839062,54.7,0.854824329,"Perforated cylinder, mobile",Mobiler Loch Zylinder,"Cilindro perforado, movil"
VAG,RIKO,LH-20,150,2000,-1.739603391,26.18237842,638.8686792,38.7,0.828051768,"Perforated cylinder, mobile",Mobiler Loch Zylinder,"Cilindro perforado, movil"
VAG,RIKO,LH-30,150,2000,-2.035777932,3.408697353,154.00552,27.59518899,0.797399921,"Perforated cylinder, mobile",Mobiler Loch Zylinder,"Cilindro perforado, movil"
VAG,RIKO,LH-35,150,2000,-3.189147663,1.202928822,60.64686322,22.8683056,0.784825513,"Perforated cylinder, mobile",Mobiler Loch Zylinder,"Cilindro perforado, movil"
VAG,RIKO,LH-40,150,2000,-3.189147663,1.202928822,60.64686322,19.51291487,0.773305492,"Perforated cylinder, mobile",Mobiler Loch Zylinder,"Cilindro perforado, movil"
